Salary,Position,Age,GP,GS,MP,FG,3P,2P,FT,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,VORP
21486316,SG,28,63,63,35.3,7.8,2.6,5.2,2.8,4.1,5.1,1.2,0.3,2.1,1.9,21.1,14.7,0.517,0.425,0.185,2.4,10.2,6.2,22.7,1.6,0.6,9.4,26.9,0.1,1.6,1.7,0.8
21250000,PG,28,69,69,36.7,6.3,3.0,3.3,3.7,4.1,6.049999999999999,1.55,0.6,2.0,2.8,19.3,17.0,0.54,0.545,0.254,1.2,12.0,6.3,28.1,2.4,1.5,10.2,23.2,3.7,2.8,6.5,2.1500000000000004
21177750,SF,30,80,73,31.0,5.9,3.3,2.3,1.3,5.0,2.8,1.2,0.3,1.7,2.0,16.8,15.4,0.614,0.652,0.124,3.0,14.9,8.9,13.3,1.8,0.9,11.3,20.8,2.7,1.6,4.4,2.1500000000000004
21100000,C,26,79,79,34.6,7.3,0.4,6.8999999999999995,3.8750000000000004,8.4,6.049999999999999,0.8,0.5,2.9,3.5,19.1,23.5,0.668,0.088,0.467,10.6,29.825000000000003,20.3,30.4,1.1,1.2,16.9,21.3,4.5,3.0,8.425,2.1500000000000004
20955000,PF,28,63,63,35.7,6.9,2.3,4.6,3.8750000000000004,4.5,2.4,0.8,0.8,1.8,2.4,20.5,16.0,0.606,0.393,0.375,2.7,11.9,7.2,10.3,1.1,2.1,9.8,22.8,3.1,1.0,4.1,1.0
20690909,PF,27,68,68,30.2,6.3,0.9,5.4,2.8,6.6,3.0,0.8,0.8,1.4,1.9,16.3,19.5,0.617,0.227,0.413,9.4,15.4,12.5,14.2,1.3,2.2,9.8,21.1,4.5,2.2,6.8,2.1
20100000,SF,26,83,83,35.7,7.1,2.0,5.1,3.8,4.4,3.3,1.1,0.7,1.5,1.9,20.1,16.8,0.587,0.349,0.279,2.9,10.8,6.8,13.7,1.5,1.8,8.2,22.6,4.4,3.1,7.5,2.1500000000000004
20000000,C,24,68,68,32.6,5.9,0.0,5.9,2.4,8.4,1.7,0.8,1.1,1.4,2.3,14.3,19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,4.5,4.0,8.425,2.1500000000000004
19700319,PF,34,78,19,21.9,2.1,1.6,0.5,0.4,3.8,1.6,0.7,0.6,0.6,1.9,6.1,11.0,0.594,0.832,0.126,4.1,15.4,9.8,9.4,1.5,2.3,11.1,11.5,1.7,1.9,3.6,1.0
19568360,SG,34,69,58,28.5,4.2,1.9,2.3,2.1,1.9,2.7,0.6,0.4,1.5,1.1,12.4,11.8,0.587,0.545,0.265,0.9,6.7,3.8,13.4,1.1,1.2,12.5,17.8,1.8,0.5,2.3,0.1
19500000,SG,29,79,79,34.5,5.8,2.3,3.5,3.4,3.4,6.049999999999999,0.8,0.3,1.8,2.4,17.3,16.0,0.573,0.467,0.314,1.2,10.2,5.7,28.1,1.2,0.8,10.8,22.1,4.5,1.8,6.3,1.8
18796296,SG,28,74,30,30.2,4.3,1.7,2.6,1.8,3.8,3.9,1.0,0.3,1.6,2.3,12.1,12.4,0.546,0.437,0.243,2.8,12.1,7.4,18.0,1.6,1.0,12.4,18.7,1.4,3.1,4.4,1.0
18642857,SF,31,74,33,20.6,2.7,1.9,0.8,0.2,2.2,1.4,0.5,0.2,0.6,1.9,7.6,10.6,0.621,0.757,0.064,1.7,10.1,6.0,9.1,1.1,0.7,8.3,14.3,1.5,1.1,2.6,0.3
18352273,PF,30,82,82,32.5,4.6,1.6,3.0,3.8750000000000004,4.5,1.6,0.7,0.1,1.0,1.3,15.0,14.1,0.632,0.446,0.522,3.8,11.9,7.9,6.3,1.0,0.3,8.1,17.1,4.5,1.4,6.5,0.7
18206896,C,28,65,63,26.6,5.4,0.0,5.4,1.2,8.4,0.9,0.7,1.1,0.8,2.1,12.0,22.1,0.656,0.002,0.244,14.6,29.4,21.125,4.7,1.2,3.9,8.3,15.7,4.5,2.4,7.2,1.8
18000000,SG,30,27,7,17.0,2.1,1.3,0.8,0.7,1.8,1.3,0.6,0.1,0.8,1.7,6.1,6.9,0.471,0.687,0.127,1.0,10.8,5.9,10.6,1.7,0.6,11.2,18.4,-0.3,0.4,0.1,-0.2
17926829,C,29,42,42,27.0,3.7,0.0,3.7,1.1,8.4,2.3,0.9,1.1,1.9,2.3,8.6,17.5,0.564,0.004,0.49,14.6,25.3,21.125,11.2,1.5,3.7,19.8,14.6,1.3,2.1,3.4,0.7
