Salary,Position,Age,GP,GS,3P,TRB,AST,STL,BLK,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,STL%,BLK%,TOV%,USG%,WS,eficiencia,tier_time
12690000,1,30,76,0,0.8,5.5,0.4,0.6,0.8,1.9,9.4,18.0,0.59,0.357,0.318,10.9,15.7,1.5,4.1,6.4,18.0,5.0,16.7,3
12307692,1,32,48,0,1.1,3.5,1.2,0.8,0.7,1.8,6.0,14.2,0.584,0.594,0.175,4.5,11.9,2.4,3.7,11.5,15.6,1.9,12.2,3
12196094,4,29,65,10,1.6,2.7,2.7,1.1,0.3,1.8,10.1,12.3,0.555,0.529,0.146,2.9,6.3,2.2,1.2,12.7,18.4,1.8,16.900000000000002,3
12119440,2,23,61,59,1.5,5.9,6.049999999999999,1.1,0.3,1.6,23.099999999999998,23.3,0.557,0.247,0.409,3.3,9.7,1.6,0.7,12.6,31.424999999999997,6.0,36.449999999999996,1
11710528,4,35,11,0,1.5,1.3,0.5,0.5,0.3,1.5,5.5,10.8,0.617,0.755,0.02,2.5,5.8,2.2,2.0,16.8,18.9,0.2,8.1,2
11500000,4,31,63,9,1.5,2.4,1.5,0.6,0.2,1.5,8.3,10.2,0.544,0.555,0.073,1.8,6.5,1.3,0.7,8.2,16.8,1.6,13.0,1
11457217,2,32,68,40,1.4,2.1,3.4,0.7,0.1,1.7,10.2,10.0,0.514,0.45,0.122,1.7,4.9,1.4,0.3,14.6,20.8,0.6,16.5,2
11400000,3,27,73,73,2.0,3.3,2.6,0.9,0.2,3.3,14.3,9.4,0.494,0.443,0.155,2.2,5.8,1.4,0.7,8.9,21.8,1.6,21.3,1
11215260,0,29,42,1,0.1,1.9,0.2,0.1,0.3,1.2,3.1,12.9,0.668,0.09,0.213,9.6,13.1,0.4,2.8,12.6,13.7,0.8,5.6,2
11080125,0,31,76,64,0.0,4.1,0.9,0.6,0.3,2.8,6.7,15.5,0.738,0.019,0.5935,11.8,12.5,1.6,1.6,15.9,12.6,5.1,12.6,2
11055120,1,20,72,72,1.2,6.9,3.7,0.8,0.5,2.2,20.0,14.9,0.529,0.254,0.476,3.9,11.6,1.2,1.5,12.8,27.5,2.4,31.900000000000002,1
10900634,4,22,73,73,1.7,5.0,2.8,0.4,0.2,2.5,19.6,12.9,0.531,0.332,0.333,2.7,8.2,0.6,0.6,10.8,26.2,2.2,28.0,3
10843350,1,27,70,22,1.4,8.4,1.5,0.4,0.2,1.6,14.1,17.8,0.575,0.32,0.156,9.2,19.3,0.8,0.7,8.6,21.7,5.3,24.599999999999998,3
10733758,0,34,39,8,0.0,5.2,0.9,0.3,0.6,1.8,5.1,14.7,0.731,0.009,0.417,10.5,19.8,1.0,3.5,23.25,13.7,1.4,12.1,2
10733400,4,21,79,79,2.7,5.8,4.4,1.55,0.7,2.4,23.099999999999998,17.4,0.564,0.375,0.274,1.9,9.0,2.1,1.8,13.0,29.9,3.8,35.55,2
10714287,0,25,35,20,0.0,8.3,1.4,0.6,1.1,1.9,8.0,19.8,0.7389999999999999,0.006,0.241,14.0,19.3,1.3,4.824999999999999,15.3,11.8,3.8,19.400000000000006,3
10552800,2,21,12,12,1.4,6.2,6.0,0.8,0.6,2.8,19.9,14.0,0.492,0.272,0.192,3.2,10.3,1.2,1.5,13.8,30.0,-0.1,33.5,1
10300000,0,24,49,7,1.0,4.6,0.9,0.3,0.9,2.1,6.6,15.7,0.602,0.515,0.257,8.5,16.4,0.8,4.824999999999999,10.1,16.6,2.2,13.3,3
10260000,4,22,65,20,0.9,3.2,3.8,0.6,0.4,1.7,10.7,13.7,0.508,0.331,0.274,3.4,8.6,1.5,1.9,15.5,25.9,0.8,18.7,1
10183800,1,32,18,3,1.3,3.8,1.5,0.7,0.3,1.5,6.9,14.6,0.624,0.585,0.128,5.4,10.6,1.7,1.4,6.6,13.2,1.2,13.2,3
10123457,0,25,76,76,0.0,8.4,1.0,0.4,1.1,2.9,10.8,16.7,0.661,0.004,0.463,12.3,19.5,0.7,4.0,15.9,14.8,6.7,21.700000000000003,3
10012800,3,31,78,55,1.9,3.6,1.4,0.7,0.2,2.1,7.2,7.7,0.577,0.845,0.079,1.6,7.0,1.1,0.5,6.9,10.0,2.8,13.099999999999998,2
10012800,4,31,51,8,1.9,3.1,2.2,0.7,0.2,1.9,12.8,16.5,0.602,0.521,0.41,1.8,7.8,1.6,0.6,9.7,22.8,2.5,19.0,1
9835881,3,25,67,67,1.5,4.2,1.4,0.5,0.3,3.0,15.4,11.5,0.563,0.348,0.252,2.3,7.3,0.8,0.7,8.2,19.7,2.5,21.8,2
9603360,0,21,45,22,0.1,5.9,0.7,0.2,0.6,2.4,10.0,15.6,0.589,0.059,0.286,9.2,17.0,0.4,2.7,11.8,21.2,1.4,17.400000000000002,3
9500000,4,25,40,9,1.9,1.7,2.3,0.7,0.1,1.5,8.7,10.9,0.537,0.663,0.17,1.5,4.6,1.6,0.6,10.0,18.9,1.2,13.499999999999998,3
9472219,4,24,77,0,1.9,2.6,3.9,0.6,0.3,1.6,13.5,16.6,0.587,0.5,0.26,2.1,6.7,1.4,1.0,14.1,25.8,3.2,20.900000000000002,2
9441840,4,20,76,76,2.5,3.7,3.7,0.8,0.2,1.7,22.1,14.5,0.538,0.408,0.341,1.8,6.0,1.1,0.7,11.3,28.1,1.8,30.5,1
9398148,0,27,72,71,0.0,8.4,2.7,0.9,1.1,2.7,12.5,21.0,0.635,0.002,0.325,13.0,19.0,1.7,4.0,15.0,18.2,6.0,25.6,1
9391069,0,28,17,4,0.1,2.7,0.6,0.9,0.6,1.9,2.1,7.9,0.424,0.056,0.333,5.6,13.1,2.75,4.5,23.25,12.0,0.0,6.9,3
9200000,3,29,76,53,2.1,5.1,3.7,0.9,0.6,3.1,8.8,9.2,0.538,0.707,0.116,2.6,9.0,1.3,1.7,15.5,13.6,2.9,19.1,3
9125000,2,27,62,61,1.3,3.4,5.3,0.7,0.2,1.2,10.3,15.0,0.579,0.396,0.15,1.8,6.9,1.2,0.6,9.9,15.6,4.2,19.9,1
9080417,0,32,79,60,0.0,8.4,3.1,0.6,0.6,2.7,10.8,19.6,0.689,0.0,0.5935,11.8,18.4,1.1,2.0,15.8,15.2,7.9,23.500000000000004,3
9030000,2,28,67,36,0.8,2.9,2.9,1.5,0.7,2.4,5.6,11.5,0.588,0.528,0.255,3.1,7.1,2.75,2.8,19.5,11.1,3.6,13.6,2
9000000,1,31,37,5,1.1,3.6,1.4,0.3,0.8,2.3,5.9,8.7,0.592,0.663,0.225,3.7,8.4,0.6,2.9,12.7,10.3,1.3,12.000000000000002,2
8925000,4,27,72,70,2.0,3.3,2.3,0.9,0.2,1.6,10.4,12.3,0.612,0.657,0.226,3.4,6.3,1.5,0.6,10.5,14.6,5.1,17.099999999999998,3
8920794,2,23,69,69,2.4,2.7,6.049999999999999,1.2,0.1,2.1,21.6,18.8,0.587,0.365,0.284,1.3,4.5,1.7,0.3,13.5,26.9,7.6,31.65,2
8854879,0,24,82,8,0.1,6.5,1.2,0.6,0.8,2.6,5.0,14.2,0.567,0.113,0.217,14.1,18.1,1.6,3.7,15.6,11.2,4.6,14.1,3
8780488,1,29,69,46,0.6,5.3,4.9,1.1,0.9,2.1,9.4,14.8,0.583,0.212,0.275,3.8,10.5,1.9,2.8,15.7,14.4,5.1,21.6,2
8750000,4,30,42,2,1.7,3.0,3.5,1.4,0.3,2.4,10.7,10.6,0.513,0.526,0.196,1.6,6.8,2.6,1.1,16.6,21.1,0.6,18.9,2
8694369,0,30,7,1,0.3,3.1,1.3,0.3,0.9,1.0,7.0,14.2,0.497,0.25,0.273,7.1,11.2,0.9,4.7,5.7,20.1,0.1,12.600000000000001,1
